Complexity|MSE|Equation
96|1.2969077e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.15851448), 0.28646657), plus(pow(plus(asinh(plus(plus(tanh(plus(pow(plus(g12, g2), 0.22128582), pow(g5, abs(plus(0.2718737, pow(g3, 0.6810069)))))), tanh(plus(pow(plus(g6, relu(g10)), 0.200552), g18))), pow(plus(g1, g15), plus(0.30218923, g1)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(g9, 0.36161244))), 1.3806283), pow(g13, 0.44791964))), pow(g4, 0.53855205)), plus(g8, tanh(g14)))), 2.811827), tanh(pow(plus(plus(g1, g19), g16), 0.31109685)))), 0.11656355)))), -3.0332647e-5)
97|1.2968577e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.16271147), 0.28646657), plus(pow(plus(asinh(plus(plus(tanh(plus(pow(plus(g12, g2), 0.22128582), pow(g5, abs(plus(0.2718737, pow(g3, 0.6810069)))))), tanh(plus(pow(plus(g6, relu(g10)), 0.200552), g18))), pow(plus(g1, g15), plus(0.30218923, g1)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(g9, 0.36161244))), 1.3806283), pow(g13, 0.44791964))), pow(g4, 0.53855205)), plus(g8, tanh(g14)))), 2.811827), tanh(pow(plus(plus(asinh(g1), g19), g16), 0.31109685)))), 0.11656355)))), -3.0332647e-5)
99|1.2917381e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.796843), pow(asinh(plus(plus(pow(g14, 0.34981486), plus(pow(plus(plus(asinh(plus(asinh(plus(asinh(plus(pow(g12, 0.39876693), tanh(pow(g5, 0.28889486)))), tanh(pow(g6, abs(plus(erfc(square(square(square(exp(g16))))), g1)))))), g1)), g11), plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.444711))), tanh(pow(plus(g9, g2), 0.28968868))))), 1.542584))), tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.4042512), pow(g8, 0.57789636)), g18))))))), 3.1916502), tanh(pow(plus(plus(g1, g1), g16), 0.23872663)))), 0.21726602)), 1.0548456))), -3.0225607e-5)
100|1.29134605e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.796843), pow(asinh(plus(plus(pow(g14, 0.34981486), plus(pow(plus(plus(asinh(plus(asinh(plus(asinh(plus(pow(g12, 0.39876693), tanh(pow(g5, 0.28889486)))), tanh(pow(g6, abs(plus(erfc(square(square(square(exp(g16))))), g1)))))), g1)), g11), plus(plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.444711))), tanh(pow(plus(g9, g2), 0.28968868))))), 1.542584))), g4), tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.4042512), pow(g8, 0.57789636)), g18))))))), 3.1916502), pow(plus(plus(g1, g1), g16), 0.23872663))), 0.21726602)), 1.0548456))), -3.0225607e-5)
101|1.2870067e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.059104577), 0.2418465), plus(pow(plus(asinh(plus(plus(tanh(cube(plus(pow(plus(g12, g2), sqrtm(g18)), pow(g5, plus(abs(plus(plus(pow(g3, 0.6985332), g14), plus(0.2692899, g14))), sqrtm(g1)))))), pow(g6, 0.23984405)), pow(plus(g1, g15), plus(g1, 0.30218923)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(plus(g9, g18), 0.3254819))), 1.9987775), pow(g13, 0.44791964))), tanh(pow(plus(g4, g19), erfc(plus(g7, 0.56583387))))), g8)), 2.811827), pow(plus(g1, g16), 0.31491256))), 0.17985713)))), -3.0385858e-5)
104|1.2835376e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.7903202), pow(asinh(plus(plus(pow(g14, 0.36389363), plus(pow(plus(plus(asinh(asinh(asinh(plus(plus(pow(g12, 0.35878634), tanh(tanh(tanh(tanh(pow(plus(g5, g10), square(0.23495978))))))), pow(g6, abs(plus(erfc(square(plus(square(square(exp(g16))), g15))), g1))))))), g11), plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.444711))), tanh(tanh(pow(plus(g9, g2), 0.27390924)))))), 2.0243459))), tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.39610928), pow(g8, 0.49672094)), g18))))))), 3.176606), pow(plus(plus(g1, g1), g16), 0.21967994))), 0.24427105)), 1.0890547))), -2.9296543e-5)
105|1.2825636e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.7903202), pow(asinh(plus(plus(pow(g14, 0.36389363), plus(pow(plus(plus(asinh(asinh(asinh(plus(plus(pow(g12, 0.35878634), tanh(tanh(tanh(tanh(pow(plus(g5, g10), 0.055206098)))))), pow(g6, abs(plus(plus(erfc(square(plus(square(square(exp(g16))), g15))), g1), g1))))))), g11), plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.444711))), tanh(tanh(pow(plus(g9, g2), 0.27584165)))))), 2.0243459))), tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.39610928), pow(g8, 0.49672094)), g18))))))), 3.176606), pow(plus(plus(g1, g1), g16), 0.21967994))), 0.24427105)), 1.0890547))), -2.9296543e-5)
106|1.2825636e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.7903202), pow(asinh(plus(plus(pow(g14, 0.36389363), plus(pow(plus(plus(asinh(asinh(asinh(plus(plus(pow(g12, 0.35878634), tanh(tanh(tanh(tanh(pow(plus(g5, g10), square(0.23495978))))))), pow(g6, abs(plus(plus(erfc(square(plus(square(square(exp(g16))), g15))), g1), g1))))))), g11), plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.444711))), tanh(tanh(pow(plus(g9, g2), 0.27584165)))))), 2.0243459))), tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.39610928), pow(g8, 0.49672094)), g18))))))), 3.176606), pow(plus(plus(g1, g1), g16), 0.21967994))), 0.24427105)), 1.0890547))), -2.9296543e-5)
107|1.2824485e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.7903202), pow(asinh(plus(plus(pow(g14, 0.36389363), plus(pow(plus(plus(asinh(asinh(asinh(plus(plus(pow(g12, 0.35878634), tanh(tanh(tanh(tanh(pow(plus(g5, g10), square(0.23495978))))))), pow(g6, abs(plus(plus(erfc(square(plus(square(square(exp(g16))), g15))), g1), g1))))))), g11), plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.444711))), tanh(tanh(pow(plus(g9, g2), 0.27390924)))))), 2.0243459))), tanh(tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.39610928), pow(g8, 0.49672094)), g18)))))))), 3.176606), pow(plus(plus(g1, g1), g16), 0.21967994))), 0.24427105)), 1.0890547))), -2.9296543e-5)
108|1.27826415e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012507909)))), 3.7903202), pow(asinh(plus(plus(pow(plus(plus(asinh(asinh(asinh(plus(pow(plus(pow(g12, plus(0.32192013, g16)), tanh(cube(pow(cube(plus(g5, g10)), abs(g2))))), 1.7235894), pow(g6, abs(plus(plus(erfc(plus(square(plus(square(square(exp(g16))), g15)), -0.049183898)), g1), g1))))))), g11), plus(tanh(sinh(pow(sinh(sinh(plus(tanh(tanh(mult(plus(plus(plus(g7, g17), g15), g3), 9.2407))), tanh(tanh(pow(plus(g9, g2), 0.27584165)))))), 2.1018007))), tanh(tanh(tanh(tanh(plus(plus(pow(g19, 0.40188769), pow(g8, 0.5133898)), g18))))))), 3.176606), pow(plus(plus(g1, g1), g16), 0.21180242)), 0.24399163)), erfc(-0.13394016)))), -2.884877e-5)
