Complexity|MSE|Equation
107|1.18729195e-5|mult(plus(plus(cube(tanh(mult(asinh(plus(sign(g3), sign(plus(plus(g1, g1), relu(g2))))), 0.66724116))), sinh(plus(asinh(tanh(asinh(plus(greater(plus(mean_g, mult(g1, 1.2985852)), plus(mult(plus(t, mean_g2), 2.0693524), mean_g2)), g1)))), sinh(sinh(sinh(sinh(pow(tanh(tanh(tanh(plus(mult(plus(g2, g0), 1.3515071), plus(plus(g4, tanh(mult(g3, 2.7276704))), plus(tanh(mult(plus(g2, g4), 5.89249)), g1)))))), plus(sinh(plus(sinh(sinh(sinh(sqrtm(mult(greater(mult(plus(plus(t, mean_g2), t), 1.5725465), mean_g), sqrtm(sqrtm(g0))))))), mult(greater(mean_g2, t), 5.54123))), sqrtm(t)))))))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 406.1177))))), cube(erfc(t))))), -0.0014793393)
108|1.187087e-5|mult(plus(plus(cube(tanh(mult(asinh(plus(sign(g3), sign(plus(plus(g1, g1), relu(g2))))), 0.66724116))), sinh(plus(asinh(tanh(asinh(plus(asinh(greater(plus(mean_g, mult(g1, 1.2985852)), plus(mult(plus(t, mean_g2), 2.0693524), mean_g2))), g1)))), sinh(sinh(sinh(sinh(pow(tanh(tanh(tanh(plus(mult(plus(g2, g0), 1.3515071), plus(plus(g4, tanh(mult(g3, 2.7276704))), plus(tanh(mult(plus(g2, g4), 5.89249)), g1)))))), plus(sinh(plus(sinh(sinh(sinh(sqrtm(mult(greater(mult(plus(plus(t, mean_g2), t), 1.5725465), mean_g), sqrtm(sqrtm(g0))))))), mult(greater(mean_g2, t), 5.54123))), sqrtm(t)))))))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 406.1177))))), cube(erfc(t))))), -0.0014793393)
109|1.1870208e-5|mult(plus(plus(cube(tanh(mult(asinh(plus(sign(g3), sign(plus(plus(g1, g1), relu(g2))))), 0.66724116))), sinh(plus(asinh(tanh(asinh(plus(asinh(greater(plus(mean_g, mult(g1, 1.2985852)), plus(mult(plus(t, mean_g2), 2.0693524), mean_g2))), g1)))), sinh(sinh(sinh(sinh(pow(tanh(tanh(tanh(plus(mult(plus(g2, g0), 1.3515071), plus(plus(g4, tanh(asinh(mult(g3, 2.7276704)))), plus(tanh(mult(plus(g2, g4), 5.89249)), g1)))))), plus(sinh(plus(sinh(sinh(sinh(sqrtm(mult(greater(mult(plus(plus(t, mean_g2), t), 1.5725465), mean_g), sqrtm(sqrtm(g0))))))), mult(greater(mean_g2, t), 5.54123))), sqrtm(t)))))))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 406.1177))))), cube(erfc(t))))), -0.0014793393)
110|1.1788412e-5|mult(plus(plus(plus(cube(cube(asinh(mult(asinh(sinh(plus(tanh(sign(g1)), pow(g2, t)))), 0.661242)))), sqrtm(relu(plus(pow(g3, 0.3364803), mean_g)))), sinh(pow(plus(tanh(plus(pow(cube(plus(greater(mult(plus(mean_g, plus(mult(g1, 1.3045698), g0)), 0.76884544), mult(plus(plus(t, mean_g2), greater(mean_g2, t)), plus(sinh(square(sign(g0))), 2.0002031))), g3)), plus(greater(abs(plus(plus(plus(g3, 0.17987019), g3), mean_g2)), 0.16066605), t)), pow(g0, 0.32787007))), plus(sinh(sinh(sinh(pow(tanh(tanh(tanh(tanh(plus(g2, g4))))), plus(greater(sqrtm(t), 0.090834156), sqrtm(t)))))), mean_g)), mult(plus(mult(mean_g, 6.1833944), 1.164156), 1.247609)))), sinh(sinh(sinh(tanh(asinh(asinh(mult(g0, 556.5223)))))))), -0.0011592659)
111|1.1788412e-5|mult(plus(plus(plus(cube(cube(asinh(mult(asinh(sinh(plus(tanh(sign(g1)), pow(g2, t)))), 0.661242)))), sqrtm(relu(plus(pow(g3, 0.3364803), mean_g)))), sinh(pow(plus(tanh(plus(pow(cube(plus(abs(greater(mult(plus(mean_g, plus(mult(g1, 1.3045698), g0)), 0.76884544), mult(plus(plus(t, mean_g2), greater(mean_g2, t)), plus(sinh(square(sign(g0))), 2.0002031)))), g3)), plus(greater(abs(plus(plus(plus(g3, 0.17987019), g3), mean_g2)), 0.16066605), t)), pow(g0, 0.32787007))), plus(sinh(sinh(sinh(pow(tanh(tanh(tanh(tanh(plus(g2, g4))))), plus(greater(sqrtm(t), 0.090834156), sqrtm(t)))))), mean_g)), mult(plus(mult(mean_g, 6.1833944), 1.164156), 1.247609)))), sinh(sinh(sinh(tanh(asinh(asinh(mult(g0, 556.5223)))))))), -0.0011592659)
117|1.1677267e-5|mult(plus(plus(cube(sinh(tanh(cube(cube(plus(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.17903619)), 0.6594968), t)))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(mult(g1, 1.9563664), t), 0.30448014), mult(g0, 0.46614158)), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(asinh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.8096401))))))))), plus(sqrtm(mult(t, sqrtm(mult(g4, -0.09033437)))), mult(sqrtm(plus(mult(t, plus(mult(abs(g1), 1.2525512), -0.365509)), mean_g2)), exp(plus(sqrtm(g2), 0.76402843)))))))), 1.2258377))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 415.51733))))), cube(erfc(t))))), -0.001444941)
118|1.16747005e-5|mult(plus(plus(cube(sinh(tanh(cube(cube(plus(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.17903619)), 0.6594968), t)))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(mult(g1, 1.9563664), t), 0.30448014), mult(g0, 0.46614158)), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(tanh(asinh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.8096401)))))))))), plus(sqrtm(mult(t, sqrtm(mult(g4, 0.0901466)))), mult(sqrtm(plus(mult(t, plus(mult(abs(g1), 1.2525512), -0.365509)), mean_g2)), exp(plus(sqrtm(g2), 0.76402843)))))))), 1.2258377))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 415.51733))))), cube(erfc(t))))), -0.001444941)
121|1.16747005e-5|mult(plus(plus(cube(sinh(tanh(cube(cube(plus(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.17903619)), 0.6594968), t)))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(mult(g1, 1.9563664), t), 0.30448014), mult(g0, mult(tanh(0.6699803), 0.7968682))), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(tanh(asinh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.8096401)))))))))), plus(sqrtm(mult(t, sqrtm(mult(g4, 0.0901466)))), mult(sqrtm(plus(mult(t, plus(mult(abs(g1), 1.2525512), -0.365509)), mean_g2)), exp(plus(sqrtm(g2), 0.76402843)))))))), 1.2258377))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 415.51733))))), cube(erfc(t))))), -0.001444941)
122|1.16726715e-5|mult(plus(plus(cube(sinh(tanh(cube(cube(plus(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.17903619)), 0.6594968), t)))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(mult(g1, 1.9563664), t), 0.30448014), mult(g0, mult(tanh(0.6699803), 0.7968682))), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(tanh(asinh(tanh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.8096401))))))))))), plus(sqrtm(mult(t, sqrtm(mult(g4, 0.0901466)))), mult(sqrtm(plus(mult(t, plus(mult(abs(g1), 1.2525512), -0.365509)), mean_g2)), exp(plus(sqrtm(g2), 0.76402843)))))))), 1.2258377))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 415.51733))))), cube(erfc(t))))), -0.001444941)
123|1.1624845e-5|mult(plus(plus(sinh(cube(sinh(tanh(cube(cube(plus(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.17392215)), 0.6576714), t))))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(mult(g1, 1.9563664), t), 0.30448014), mult(g0, 0.46614158)), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(plus(pow(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.8096401)))))))))), plus(sqrtm(mult(t, sqrtm(mult(g4, -0.023424264)))), mult(sqrtm(plus(mult(t, plus(mult(abs(g1), 1.3357798), -0.365509)), mean_g2)), exp(plus(sqrtm(pow(g2, 0.6446337)), 0.7462485))))), -0.004860958)))), 1.2330077))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 448.17053))))), cube(erfc(t))))), -0.0014442725)
